OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_Volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-Ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-Ignore
2021-12-19 19:00:00,3925.36,3929.75,3900.1,3905.95,3289.3945,2021-12-19 19:14:59.999,12869358.646559,7049.0,1751.3751,6851201.252516,0.0,46699.1,46740.0,46313.23,46423.13,238.12023,11080364.2052993,9556.0,94.43529,4395610.4400679,0.0
2021-12-19 19:15:00,3906.4,3921.61,3893.86,3919.74,1565.5284,2021-12-19 19:29:59.999,6114011.071741,4509.0,515.4158,2014702.409222,0.0,46423.12,46573.35,46250.0,46539.41,131.38327,6094193.5376583,5387.0,57.7467,2679584.2415308,0.0
2021-12-19 19:30:00,3919.21,3932.99,3913.2,3932.83,661.8663,2021-12-19 19:44:59.999,2597494.619716,2834.0,379.7796,1490705.427886,0.0,46530.9,46693.51,46465.34,46693.51,59.65357,2779027.1726194,3230.0,32.00464,1491084.5444605,0.0
2021-12-19 19:45:00,3932.71,3948.6,3922.95,3948.59,1000.3781,2021-12-19 19:59:59.999,3935773.619946,3781.0,527.0431,2074649.334541,0.0,46693.5,46890.28,46605.86,46890.28,98.59572,4608701.3786735,3954.0,54.90125,2566705.5422835,0.0
2021-12-19 20:00:00,3948.59,3984.24,3943.32,3971.33,2657.807,2021-12-19 20:14:59.999,10546865.223861,8389.0,1467.6014,5823116.062602,0.0,46890.73,47226.67,46835.42,47158.73,191.75989,9019574.8153547,6792.0,111.15948,5229277.7507062,0.0
2021-12-19 20:15:00,3971.01,3975.52,3939.0,3944.02,1143.2066,2021-12-19 20:29:59.999,4517964.915526,4797.0,606.8439,2398198.079605,0.0,47153.51,47207.81,46759.27,46831.17,106.61568,5003769.0881034,5044.0,53.43534,2508397.1748786,0.0
2021-12-19 20:30:00,3944.02,3945.57,3919.04,3922.8,2145.1984,2021-12-19 20:44:59.999,8428070.632455,5710.0,735.0832,2887703.264565,0.0,46830.75,46847.85,46513.02,46542.44,109.70189,5117894.8380814,5016.0,38.19933,1781716.0834027,0.0
2021-12-19 20:45:00,3923.34,3949.13,3923.34,3934.16,885.5296,2021-12-19 20:59:59.999,3486312.441339,3195.0,389.5728,1534315.826376,0.0,46543.34,46784.51,46543.34,46634.27,54.01585,2520685.7890654,2891.0,26.95622,1258162.0770585,0.0
2021-12-19 21:00:00,3933.96,3937.64,3915.0,3917.63,1272.0057,2021-12-19 21:14:59.999,4992905.260919,4222.0,472.1282,1852728.344543,0.0,46631.13,46664.94,46480.0,46555.02,49.28801,2294702.6479261,3016.0,22.74332,1058844.2039509,0.0
2021-12-19 21:15:00,3917.63,3942.0,3917.12,3931.82,751.6989,2021-12-19 21:29:59.999,2953680.841451,3039.0,417.9533,1642430.927045,0.0,46555.02,46839.99,46545.42,46716.38,62.47617,2916226.9313118,3293.0,35.74608,1668696.2472833,0.0
2021-12-19 21:30:00,3931.41,3940.27,3923.29,3932.48,658.097,2021-12-19 21:44:59.999,2587005.608417,2887.0,281.403,1106320.649794,0.0,46716.37,46839.74,46646.22,46763.06,55.08024,2575110.9985289,2715.0,29.33873,1371671.2134197,0.0
2021-12-19 21:45:00,3931.21,3935.29,3917.56,3929.48,427.7375,2021-12-19 21:59:59.999,1678861.896335,2308.0,202.0336,792841.970459,0.0,46763.06,46810.8,46622.92,46746.75,54.03662,2523319.2794835,3046.0,25.95928,1212149.7785214,0.0
2021-12-19 22:00:00,3929.2,3934.81,3917.96,3918.47,468.4475,2021-12-19 22:14:59.999,1839251.108135,2102.0,221.569,870166.138425,0.0,46746.75,46850.0,46691.84,46754.54,52.43782,2453454.3781206,2592.0,23.97139,1121609.9127034,0.0
2021-12-19 22:15:00,3918.47,3918.47,3895.0,3898.24,1428.6407,2021-12-19 22:29:59.999,5577287.093985,4722.0,582.2551,2272756.505433,0.0,46754.53,46754.53,46515.43,46562.23,75.22347,3504281.0515003,3906.0,34.29081,1597271.6108351,0.0
